source,target,context
e.g. Europe/Berlin,bv. Europe/Berlin,
Email,E-pos,
Enable bookmarks,Aktiveer boekmerke,
Everyone,Almal,
Enable global timer,Aktiveer globale tydhouer,
Enable recent items,Aktiveer onlangse items,
Expired,Verval,
Expires,Verval,
Expires: {0},Verval: {0},
Failed to generate link. Please try again.,Kon nie skakel genereer nie. Probeer asseblief weer.,
Failed to load sessions.,Kon nie sessies laai nie.,
Features,Kenmerke,
Full name,Volle naam,
Frappe Desk,Frappe Desk,
Generate link,Genereer skakel,
Generating…,Besig om te genereer…,
Guest Portal,Gasteportaal,
in {0},in {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Installeer Orga, Micro of ander apps om kruisapp-konteks vir jou kontakte te sien.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Postitel,
Keep running,Hou aan loop,
Label,Etiket,
Last accessed,Laas gebruik,
Light,Lig,
Limit,Limiet,
Link expires in:,Skakel verval oor:,
Loading…,Besig om te laai…,
Load more,Laai meer,
Log out,Meld af,
Make private,Maak privaat,
Mark all read,Merk alles as gelees,
Mark read,Merk as gelees,
Monday,Maandag,
More fields,Meer velde,
My contacts,My kontakte,
My Account,My Rekening,
My Profile,My Profiel,
Never,Nooit,
New contact,Nuwe kontak,
No contacts found,Geen kontakte gevind nie,
No expiry,Geen vervaldatum,
None,Geen,
No guest sessions yet.,Nog geen gastesessies nie.,
No recent items,Geen onlangse items,
No recent items yet,Nog geen onlangse items nie,
No results for "{0}",Geen resultate vir "{0}" nie,
No results for "{0}" in {1},Geen resultate vir "{0}" in {1} nie,
Notifications,Kennisgewings,
Notification unavailable,Kennisgewing onbeskikbaar,
Organization Defaults,Organisasie-verstekke,
Organization settings updated — reload to apply,Organisasie-instellings opgedateer — herlaai om toe te pas,
Org default,Organisasie-verstek,
"Password, 2FA, profile picture","Wagwoord, 2FA, profielfoto",
Pause,Onderbreek,
paused,onderbreek,
People,Mense,
People with access,Mense met toegang,
Permissions,Toestemmings,
Pinned,Vasgespeld,
Powered by Tonic,Aangedryf deur Tonic,
Phone,Telefoon,
Private,Privaat,
Product Manager,Product Manager,
Preferences,Voorkeure,
Read,Lees,
Recent,Onlangs,
Reload,Herlaai,
Remove bookmark,Verwyder boekmerk,
Remove from shared,Verwyder van gedeel,
Remove from recent,Verwyder van onlangs,
Resume,Hervat,
Retry,Probeer weer,
Revoke,Herroep,
Revoked,Herroep,
Revoke session,Herroep sessie,
Revoking…,Besig om te herroep…,
Saved,Gestoor,
Save failed,Stoor het misluk,
Save organization settings,Stoor organisasie-instellings,
Saving…,Besig om te stoor…,
Search...,Soek...,
"Search by name, email, or phone…","Soek op naam, e-pos of telefoon…",
Search users...,Soek gebruikers...,
Share {0} {1},Deel {0} {1},
Submit,Dien in,
Search in All apps,Soek in alle apps,
Search unavailable,Soek onbeskikbaar,
selected,gekies,
Share "{0}",Deel "{0}",
Share with team,Deel met span,
Shared,Gedeel,
Shared with team,Gedeel met span,
Share with client,Deel met kliënt,
Showing {0} of {1} sessions,Wys {0} van {1} sessies,
Site label,Werf-etiket,
Sort: A–Z — click for last modified,Sorteer: A–Z — klik vir laas gewysig,
Sort: last modified — click for A–Z,Sorteer: laas gewysig — klik vir A–Z,
Start,Begin,
Start Timer,Begin Tydhouer,
Status,Status,
Stop,Stop,
Stop & Save,Stop en Stoor,
Sunday,Sondag,
System,Stelsel,
Theme,Tema,
Theme preference,Temavoorkeur,
This email is already on,Hierdie e-pos is reeds aan,
This link has been deactivated.,Hierdie skakel is gedeaktiveer.,
This link has expired. Please ask the sender for a new link.,Hierdie skakel het verval. Vra asseblief die sender vir 'n nuwe skakel.,
This link is invalid or has been removed.,Hierdie skakel is ongeldig of is verwyder.,
Time,Tyd,
Time entry saved,Tydinskrywing gestoor,
Timer unavailable,Tydhouer onbeskikbaar,
Timezone,Tydsone,
total,totaal,
Try again,Probeer weer,
Unread,Ongelees,
Open calendar,Maak kalender oop,
Open in Desk,Maak oop in Desk,
Open in {0},Maak oop in {0},
User menu,Gebruikersmenu,
View existing →,Bekyk bestaande →,
Visibility,Sigbaarheid,
View,Bekyk,
View all notifications,Bekyk alle kennisgewings,
View time entry,Bekyk tydinskrywing,
Week starts on,Week begin op,
Write,Skryf,
What are you working on?,Waaraan werk jy?,
You're all caught up,Jy is op datum,
Your Preferences,Jou Voorkeure,
Your timer has been running for {0},Jou tydhouer loop al vir {0},
Actions,Aksies,
Add details about this event...,Voeg besonderhede by oor hierdie geleentheid...,
Add event,Voeg geleentheid by,
Agenda,Agenda,
All day,Heeldag,
Calendar,Kalender,
Create Event,Skep Geleentheid,
Create in:,Skep in:,
Day,Dag,
Deadline,Sperdatum,
Delete Event,Skrap Geleentheid,
Delete this event? This cannot be undone.,Skrap hierdie geleentheid? Dit kan nie ongedaan gemaak word nie.,
Deleting…,Besig om te skrap…,
Description,Beskrywing,
Details,Besonderhede,
End,Einde,
Event,Geleentheid,
Event title,Geleentheidstitel,
Failed to create event,Kon nie geleentheid skep nie,
Failed to delete event,Kon nie geleentheid skrap nie,
Manage this event in,Bestuur hierdie geleentheid in,
Meeting,Vergadering,
Milestone,Mylpaal,
Month,Maand,
My calendars,My kalenders,
New Event,Nuwe Geleentheid,
No actions available,Geen aksies beskikbaar nie,
No events,Geen geleenthede,
Open in,Maak oop in,
Other,Ander,
Permanently remove this event,Verwyder hierdie geleentheid permanent,
Review,Hersien,
Source,Bron,
Start date/time is required,Begindatum/-tyd word vereis,
Title,Titel,
Title is required,Titel word vereis,
Today,Vandag,
Type,Tipe,
View full details in the source app,Bekyk volledige besonderhede in die bron-app,
Week,Week,
When,Wanneer,
{0} available,{0} beskikbaar,
Available,Beskikbaar,
Configure Frappe Manager to enable one-click updates.,Stel Frappe Manager op om een-klik-opdaterings te aktiveer.,
Copy command,Kopieer opdrag,
Ecosystem Apps,Ekosisteem-apps,
Failed,Misluk,
Install,Installeer,
Installed,Geïnstalleer,
Learn more,Leer meer,
No apps found,Geen apps gevind nie,
not installed,nie geïnstalleer nie,
Open,Maak oop,
Pro available,Pro beskikbaar,
Queued…,In die ry…,
Refresh,Verfris,
Remove,Verwyder,
Remove {0}? This will uninstall the app and may affect data.,Verwyder {0}? Dit sal die app deïnstalleer en kan data beïnvloed.,
Restart required,Herbegin vereis,
Restarting…,Besig om te herbegin…,
"To install {0}, run:","Om {0} te installeer, voer uit:",
"To update {0}, run:","Om {0} op te dateer, voer uit:",
Update {0} from v{1} to {2}? This will restart Frappe.,Dateer {0} op van v{1} na {2}? Dit sal Frappe herbegin.,
Update to {0},Dateer op na {0},
Updated,Opgedateer,
Updating…,Besig om op te dateer…,
Up to date,Op datum,
to version,na weergawe,
For whom?,Vir wie?,
Working on?,Werk waaraan?,
Search contacts...,Soek kontakte...,
Select type...,Kies tipe...,
Context,Konteks,
Contact,Kontak,
Context Type,Kontekstipe,
Activity,Aktiwiteit,
Activity will appear here as you and your team work across ecosystem apps.,Aktiwiteit sal hier verskyn soos jy en jou span oor ekosisteem-apps werk.,
Acknowledge,Erken,
All apps,Alle apps,
All Discussions,Alle Besprekings,
All types,Alle tipes,
Archived,Geargiveer,
Cancel,Kanselleer,
Celebrate,Vier,
Comments,Kommentaar,
Create Discussion,Skep Bespreking,
Creating…,Besig om te skep…,
Ctrl+Enter to send,Ctrl+Enter om te stuur,
Decision,Besluit,
Discussion not found,Bespreking nie gevind nie,
Discussion title,Besprekingstitel,
Discussions,Besprekings,
Flag,Vlag,
General,Algemeen,
just now,sopas,
Keep commenting,Hou aan kommentaar lewer,
Linked Records,Gekoppelde Rekords,
Linked to,Gekoppel aan,
Load more,Laai meer,
Loading…,Besig om te laai…,
Meeting Protocol,Vergaderingsprotokol,
Mentioned,Genoem,
New Discussion,Nuwe Bespreking,
No activity yet,Nog geen aktiwiteit nie,
No comments yet,Nog geen kommentaar nie,
No discussions found,Geen besprekings gevind nie,
No discussions yet,Nog geen besprekings nie,
Note,Nota,
Notes,Notas,
Participants,Deelnemers,
Pin,Speld vas,
Pinned,Vasgespeld,
Proposal,Voorstel,
Protocol,Protokol,
Reopen,Heropen,
Replies,Antwoorde,
Reply,Antwoord,
Replying to comment,Antwoord op kommentaar,
Resolve,Los op,
Resolve Discussion,Los Bespreking Op,
Resolved,Opgelos,
Resolution,Resolusie,
Resolution summary...,Resolusie-opsomming...,
Retrospective,Terugskou,
Search discussions...,Soek besprekings...,
Seen,Gesien,
Send,Stuur,
Start Discussion,Begin Bespreking,
Unpin,Maak los,
Write a comment...,Skryf 'n kommentaar...,
Write your discussion content...,Skryf jou besprekingsinhoud...,
resolved,opgelos,
unread,ongelees,
{0} mentioned you in a comment,{0} het jou in 'n kommentaar genoem,
{0} is already an attendee.,{0} is reeds 'n bywoner.,
{0} is not an attendee.,{0} is nie 'n bywoner nie.,
{0} is not installed,{0} is nie geïnstalleer nie,
{0} results found,{0} resultate gevind,
+ Add tags,+ Voeg etikette by,
A→Z,A→Z,
Accept,Aanvaar,
Action failed,Aksie het misluk,
Active now,Nou aktief,
Add a note,Voeg 'n nota by,
"Add a note to keep track of details about this contact.","Voeg 'n nota by om besonderhede oor hierdie kontak by te hou.",
Add address,Voeg adres by,
Add another address,Voeg nog 'n adres by,
Add birthday,Voeg verjaardag by,
Add company,Voeg maatskappy by,
Add job title,Voeg postitel by,
Add more tags...,Voeg meer etikette by...,
Add tags...,Voeg etikette by...,
"Address is not linked to this contact","Adres is nie aan hierdie kontak gekoppel nie",
"Address line 1, city, and country are required","Adreslyn 1, stad en land word vereis",
ago,gelede,
All companies,Alle maatskappye,
All day event,Heeldag-geleentheid,
"Apartment, suite, etc.","Woonstel, suite, ens.",
Apps,Apps,
Archive contact,Argiveer kontak,
Attendees,Bywoners,
available,beskikbaar,
Best regards,Vriendelike groete,
Bookmarks,Boekmerke,
"Both proposed start and end times are required.","Beide voorgestelde begin- en eindtye word vereis.",
Break,Pouse,
Bridge not registered,Brug nie geregistreer nie,
Calendar Settings,Kalenderinstellings,
Call,Bel,
Cannot change bookmark owner,Kan nie boekmerk-eienaar verander nie,
Cannot revoke your current session,Kan nie jou huidige sessie herroep nie,
Change Password,Verander Wagwoord,
Change photo,Verander foto,
Check Status,Kontroleer Status,
City,Stad,
Clear,Maak skoon,
Clear filters,Maak filters skoon,
Close search,Sluit soektog,
Cmd+Enter to save,Cmd+Enter om te stoor,
Coming soon,Binnekort beskikbaar,
Coming up!,Op pad!,
Comment,Kommentaar,
Community Edition,Gemeenskapsuitgawe,
Complete,Voltooi,
Confirm new password,Bevestig nuwe wagwoord,
Copy,Kopieer,
Could not load notes,Kon nie notas laai nie,
Country,Land,
"Country '{0}' not found. Please select a valid country.","Land '{0}' nie gevind nie. Kies asseblief 'n geldige land.",
Create a contact to get started,Skep 'n kontak om te begin,
Created event: {0},Geleentheid geskep: {0},
Creating...,Besig om te skep...,
Current,Huidige,
Current password,Huidige wagwoord,
Current password is incorrect,Huidige wagwoord is verkeerd,
Currency,Geldeenheid,
Date,Datum,
Decline,Wys af,
Department,Departement,
Do Not Contact,Moenie Kontak Nie,
Dock,Dock,
Download,Aflaai,
"e.g. en, fr, de","bv. en, fr, de",
Edit,Wysig,
Edit address,Wysig adres,
Edit Timer,Wysig Tydhouer,
Email addresses,E-posadresse,
Enabled,Geaktiveer,
"End time was before start time. Adjusted to 1 hour after start.","Eindtyd was voor begintyd. Aangepas na 1 uur na begin.",
Error,Fout,
Event '{0}' status changed to {1},Geleentheid '{0}' status verander na {1},
Event Type,Geleentheidstipe,
events,geleenthede,
External,Ekstern,
External — no user account,Ekstern — geen gebruikersrekening,
Failed to change password,Kon nie wagwoord verander nie,
Failed to check status,Kon nie status kontroleer nie,
Failed to load apps,Kon nie apps laai nie,
Failed to load settings,Kon nie instellings laai nie,
"Field '{0}' is not editable","Veld '{0}' is nie redigeerbaar nie",
Files,Lêers,
First Name,Voornaam,
Focus,Fokus,
"Frappe Manager URL is not configured in Dock Settings.","Frappe Manager-URL is nie in Dock-instellings opgestel nie.",
Hello {0},Hallo {0},
Inactive,Onaktief,
Integrations,Integrasies,
Internal,Intern,
Internal — has a user account,Intern — het 'n gebruikersrekening,
Invalid RSVP status,Ongeldige RSVP-status,
Invalid status,Ongeldige status,
"Invalid status. Must be one of: {0}","Ongeldige status. Moet een van die volgende wees: {0}",
"Invitation: {0} — {1} at {2}","Uitnodiging: {0} — {1} om {2}",
Invite People,Nooi Mense Uit,
Join meeting →,Sluit aan by vergadering →,
Language,Taal,
Last activity,Laaste aktiwiteit,
Last modified,Laas gewysig,
Last Name,Van,
Last sync,Laaste sinchronisasie,
Link user account,Koppel gebruikersrekening,
Linked records,Gekoppelde rekords,
Loading settings...,Besig om instellings te laai...,
Loading...,Besig om te laai...,
Location,Ligging,
Mark Do Not Contact,Merk as Moenie Kontak Nie,
Maybe,Miskien,
Meeting Link,Vergaderingskakel,
Meeting title,Vergaderingstitel,
Meeting URL,Vergadering-URL,
Mine,Myne,
Modified,Gewysig,
navigate,navigeer,
New note,Nuwe nota,
New password,Nuwe wagwoord,
new tab,nuwe oortjie,
New tag,Nuwe etiket,
No active sessions found,Geen aktiewe sessies gevind nie,
No activity,Geen aktiwiteit,
No attendees,Geen bywoners,
No bookmarks yet,Nog geen boekmerke nie,
No bridges registered,Geen brugte geregistreer nie,
No contacts match these filters,Geen kontakte pas by hierdie filters nie,
No file uploaded,Geen lêer opgelaai nie,
No files attached,Geen lêers aangeheg nie,
No notes yet,Nog geen notas nie,
No results found,Geen resultate gevind nie,
No settings registered for this app.,Geen instellings geregistreer vir hierdie app nie.,
No status endpoint declared,Geen status-eindpunt verklaar nie,
No sync endpoint declared,Geen sinchronisasie-eindpunt verklaar nie,
No tags found,Geen etikette gevind nie,
Not checked,Nie nagegaan nie,
Not configured,Nie opgestel nie,
Not permitted,Nie toegelaat nie,
Note content cannot be empty,Nota-inhoud kan nie leeg wees nie,
Notification Settings,Kennisgewinginstellings,
Number format,Nommerformaat,
One-way,Eenrigting,
"Only native Dock events can be deleted here.","Slegs eie Dock-geleenthede kan hier geskrap word.",
"Only System Manager can trigger bridge sync","Slegs Stelselbestuurder kan brugsinchronisasie aktiveer",
"Only System Manager can view sync logs","Slegs Stelselbestuurder kan sinchronisasieloglêers sien",
"Only the contact owner can change the photo","Slegs die kontak-eienaar kan die foto verander",
"Only the contact owner can edit this contact","Slegs die kontak-eienaar kan hierdie kontak wysig",
"Only the event organizer can send invitations.","Slegs die geleentheidsorganiseerder kan uitnodigings stuur.",
"Only the session creator or a Dock Manager can revoke sessions","Slegs die sessieskep­per of 'n Dock-bestuurder kan sessies herroep",
open,oop,
Open app switcher,Maak app-wisselaar oop,
Optional,Opsioneel,
optional,opsioneel,
Organizer,Organiseerder,
Owner,Eienaar,
Password updated,Wagwoord opgedateer,
Passwords don't match,Wagwoorde stem nie ooreen nie,
Permission denied,Toestemming geweier,
Phone numbers,Telefoonnommers,
Pin items from any app using the bookmark button in the top bar,Speld items vas van enige app met die boekmerknoppie in die boonste balk,
Please fill in all password fields,Vul asseblief al die wagwoordvelde in,
Please log in to access Dock.,Meld asseblief aan om toegang tot Dock te kry.,
"Please respond to this invitation in the calendar","Reageer asseblief op hierdie uitnodiging in die kalender",
Postal code,Poskode,
Primary,Primêr,
Primary address,Primêre adres,
Privacy Policy,Privaatheidsbeleid,
Profile,Profiel,
Refresh All,Verfris Alles,
"Reminder: {0} — {1} at {2}","Herinnering: {0} — {1} om {2}",
Remove Do Not Contact,Verwyder Moenie Kontak Nie,
Remove tag,Verwyder etiket,
Required,Vereis,
required,vereis,
Respond in,Reageer in,
Restore,Herstel,
Restore from archive,Herstel van argief,
Revoking...,Besig om te herroep...,
Room or address,Kamer of adres,
Save,Stoor,
Saving...,Besig om te stoor...,
Search,Soek,
Search for people to invite...,Soek mense om uit te nooi...,
Search is temporarily unavailable,Soektog is tydelik onbeskikbaar,
Search results,Soekresultate,
Search scope,Soek-omvang,
Search user by name or email…,Soek gebruiker op naam of e-pos…,
Searching...,Besig om te soek...,
Security,Sekuriteit,
"Send an email or add a note to get started.","Stuur 'n e-pos of voeg 'n nota by om te begin.",
Session {0}/{1},Sessie {0}/{1},
Sessions,Sessies,
Settings,Instellings,
Settings not found,Instellings nie gevind nie,
Share,Deel,
Show,Wys,
Show less,Wys minder,
Social profiles,Sosiale profiele,
"Sourced events can only be edited in the source app.","Bronne-geleenthede kan slegs in die bron-app gewysig word.",
Source Code,Bronkode,
Start Focus,Begin Fokus,
State / Province,Staat / Provinsie,
"Street, number","Straat, nommer",
Sync Now,Sinchroniseer Nou,
Tag,Etiket,
Tag cannot be empty,Etiket kan nie leeg wees nie,
Tags,Etikette,
Target not installed,Teiken nie geïnstalleer nie,
Task,Taak,
"The settings component could not be loaded. Please reload the page.","Die instellingskomponent kon nie gelaai word nie. Herlaai asseblief die bladsy.",
"This contact is archived and hidden from the People list.","Hierdie kontak is geargiveer en versteek van die Mense-lys.",
This is a reminder for your upcoming event,Dit is 'n herinnering vir jou komende geleentheid,
This person is marked as Do Not Contact.,Hierdie persoon is gemerk as Moenie Kontak Nie.,
"This record is already linked to this discussion","Hierdie rekord is reeds aan hierdie bespreking gekoppel",
Timer,Tydhouer,
Timer running for {0} — did you forget?,Tydhouer loop al vir {0} — het jy vergeet?,
"To remove {0}, run:","Om {0} te verwyder, voer uit:",
Try a different search term,Probeer 'n ander soekterm,
Two-Factor Authentication,Tweefaktor-verifikasie,
"Two-factor authentication is not enabled on this site. Contact your administrator.","Tweefaktor-verifikasie is nie op hierdie werf geaktiveer nie. Kontak jou administrateur.",
Two-way,Tweerigting,
Type at least 2 characters to search,Tik minstens 2 karakters om te soek,
Type to search...,Tik om te soek...,
"Unknown notification_type '{0}' for app '{1}'","Onbekende notification_type '{0}' vir app '{1}'",
Unknown device,Onbekende toestel,
Unlink user — make external,Ontkoppel gebruiker — maak ekstern,
unsynced,ongesinchroniseer,
Update,Opdateer,
Update password,Opdateer wagwoord,
Updating...,Besig om op te dateer...,
Upload file,Laai lêer op,
"Upload files like contracts, proposals, or documents.","Laai lêers op soos kontrakte, voorstelle of dokumente.",
Upload photo,Laai foto op,
Uploading...,Besig om op te laai...,
Uploading…,Besig om op te laai…,
View entry,Bekyk inskrywing,
Website,Webwerf,
Where,Waar,
Work,Werk,
Write a note...,Skryf 'n nota...,
Write a note... (not linked to any record),Skryf 'n nota... (nie aan enige rekord gekoppel nie),
You,Jy,
You are not an attendee of this event.,Jy is nie 'n bywoner van hierdie geleentheid nie.,
"You can have a maximum of {0} bookmarks","Jy kan 'n maksimum van {0} boekmerke hê",
You can only change status of your own events.,Jy kan slegs die status van jou eie geleenthede verander.,
You can only delete your own comments,Jy kan slegs jou eie kommentaar skrap,
You can only delete your own events.,Jy kan slegs jou eie geleenthede skrap.,
You can only edit your own events.,Jy kan slegs jou eie geleenthede wysig.,
You can only edit your own notes,Jy kan slegs jou eie notas wysig,
"You can only manage attendees on your own events.","Jy kan slegs bywoners op jou eie geleenthede bestuur.",
You can only view your own events.,Jy kan slegs jou eie geleenthede sien.,
"You do not have permission to comment on this record","Jy het nie toestemming om op hierdie rekord kommentaar te lewer nie",
You have already reacted with {0},Jy het reeds met {0} gereageer,
You have been invited to the following event,Jy is na die volgende geleentheid uitgenooi,
Your attendance,Jou bywoning,
Your response,Jou antwoord,
Z→A,Z→A,
Rescheduled event: {0},Geleentheid herskeduleer: {0},
