source,target,context
Complete,Selesai,
Confirm new password,Konfirmasi kata sandi baru,
Copy,Salin,
Could not load notes,Tidak dapat memuat catatan,
Country,Negara,
"Country '{0}' not found. Please select a valid country.","Negara '{0}' tidak ditemukan. Silakan pilih negara yang valid.",
Create a contact to get started,Buat kontak untuk memulai,
Created event: {0},Acara dibuat: {0},
Creating...,Membuat...,
Current,Saat ini,
Current password,Kata sandi saat ini,
Current password is incorrect,Kata sandi saat ini salah,
Currency,Mata uang,
Date,Tanggal,
Decline,Tolak,
Department,Departemen,
Do Not Contact,Jangan Hubungi,
Dock,Dock,
Download,Unduh,
"e.g. en, fr, de","mis. en, fr, de",
Edit,Edit,
Edit address,Edit alamat,
Edit Timer,Edit Timer,
Email addresses,Alamat email,
Enabled,Diaktifkan,
"End time was before start time. Adjusted to 1 hour after start.","Waktu selesai sebelum waktu mulai. Disesuaikan menjadi 1 jam setelah mulai.",
Error,Kesalahan,
Event '{0}' status changed to {1},Status acara '{0}' diubah menjadi {1},
Event Type,Tipe Acara,
events,acara,
External,Eksternal,
External — no user account,Eksternal — tanpa akun pengguna,
Failed to change password,Gagal mengubah kata sandi,
Failed to check status,Gagal memeriksa status,
Failed to load apps,Gagal memuat aplikasi,
Failed to load settings,Gagal memuat pengaturan,
"Field '{0}' is not editable","Kolom '{0}' tidak dapat diedit",
Files,File,
First Name,Nama Depan,
Focus,Fokus,
"Frappe Manager URL is not configured in Dock Settings.","URL Frappe Manager belum dikonfigurasi di Pengaturan Dock.",
Hello {0},Halo {0},
Inactive,Tidak aktif,
Integrations,Integrasi,
Internal,Internal,
Internal — has a user account,Internal — memiliki akun pengguna,
Invalid RSVP status,Status RSVP tidak valid,
Invalid status,Status tidak valid,
"Invalid status. Must be one of: {0}","Status tidak valid. Harus salah satu dari: {0}",
"Invitation: {0} — {1} at {2}","Undangan: {0} — {1} pada {2}",
Invite People,Undang Orang,
Join meeting →,Gabung rapat →,
Language,Bahasa,
Last activity,Aktivitas terakhir,
Last modified,Terakhir diubah,
Last Name,Nama Belakang,
Last sync,Sinkronisasi terakhir,
Link user account,Tautkan akun pengguna,
Linked records,Catatan terkait,
Loading settings...,Memuat pengaturan...,
Loading...,Memuat...,
Location,Lokasi,
Mark Do Not Contact,Tandai Jangan Hubungi,
Maybe,Mungkin,
Meeting Link,Tautan Rapat,
Meeting title,Judul rapat,
Meeting URL,URL Rapat,
Mine,Milik saya,
Modified,Diubah,
navigate,navigasi,
New note,Catatan baru,
New password,Kata sandi baru,
new tab,tab baru,
New tag,Tag baru,
No active sessions found,Tidak ada sesi aktif ditemukan,
No activity,Tidak ada aktivitas,
No attendees,Tidak ada peserta,
No bookmarks yet,Belum ada bookmark,
No bridges registered,Tidak ada bridge terdaftar,
No contacts match these filters,Tidak ada kontak yang sesuai filter ini,
No file uploaded,Tidak ada file diunggah,
No files attached,Tidak ada file terlampir,
No notes yet,Belum ada catatan,
No results found,Tidak ada hasil ditemukan,
No settings registered for this app.,Tidak ada pengaturan terdaftar untuk aplikasi ini.,
No status endpoint declared,Tidak ada endpoint status dideklarasikan,
No sync endpoint declared,Tidak ada endpoint sinkronisasi dideklarasikan,
No tags found,Tidak ada tag ditemukan,
Not checked,Tidak diperiksa,
Not configured,Tidak dikonfigurasi,
Not permitted,Tidak diizinkan,
Note content cannot be empty,Konten catatan tidak boleh kosong,
Notification Settings,Pengaturan Notifikasi,
Number format,Format angka,
One-way,Satu arah,
"Only native Dock events can be deleted here.","Hanya acara Dock asli yang dapat dihapus di sini.",
"Only System Manager can trigger bridge sync","Hanya System Manager yang dapat memicu sinkronisasi bridge",
"Only System Manager can view sync logs","Hanya System Manager yang dapat melihat log sinkronisasi",
"Only the contact owner can change the photo","Hanya pemilik kontak yang dapat mengubah foto",
"Only the contact owner can edit this contact","Hanya pemilik kontak yang dapat mengedit kontak ini",
"Only the event organizer can send invitations.","Hanya penyelenggara acara yang dapat mengirim undangan.",
"Only the session creator or a Dock Manager can revoke sessions","Hanya pembuat sesi atau Dock Manager yang dapat mencabut sesi",
open,buka,
Open app switcher,Buka pengalih aplikasi,
Optional,Opsional,
optional,opsional,
Organizer,Penyelenggara,
Owner,Pemilik,
Password updated,Kata sandi diperbarui,
Passwords don't match,Kata sandi tidak cocok,
Permission denied,Izin ditolak,
Phone numbers,Nomor telepon,
Pin items from any app using the bookmark button in the top bar,Sematkan item dari aplikasi apa pun menggunakan tombol bookmark di bilah atas,
Please fill in all password fields,Silakan isi semua kolom kata sandi,
Please log in to access Dock.,Silakan masuk untuk mengakses Dock.,
"Please respond to this invitation in the calendar","Silakan tanggapi undangan ini di kalender",
Postal code,Kode pos,
Primary,Utama,
Primary address,Alamat utama,
Privacy Policy,Kebijakan Privasi,
Profile,Profil,
Refresh All,Segarkan Semua,
"Reminder: {0} — {1} at {2}","Pengingat: {0} — {1} pada {2}",
Remove Do Not Contact,Hapus Jangan Hubungi,
Remove tag,Hapus tag,
Required,Diperlukan,
required,diperlukan,
Respond in,Tanggapi di,
Restore,Pulihkan,
Restore from archive,Pulihkan dari arsip,
Revoking...,Mencabut...,
Room or address,Ruangan atau alamat,
Save,Simpan,
Saving...,Menyimpan...,
Search,Cari,
Search for people to invite...,Cari orang untuk diundang...,
Search is temporarily unavailable,Pencarian tidak tersedia untuk sementara,
Search results,Hasil pencarian,
Search scope,Lingkup pencarian,
Search user by name or email…,Cari pengguna berdasarkan nama atau email…,
Searching...,Mencari...,
Security,Keamanan,
"Send an email or add a note to get started.","Kirim email atau tambahkan catatan untuk memulai.",
Session {0}/{1},Sesi {0}/{1},
Sessions,Sesi,
Settings,Pengaturan,
Settings not found,Pengaturan tidak ditemukan,
Share,Bagikan,
Show,Tampilkan,
Show less,Tampilkan lebih sedikit,
Social profiles,Profil sosial,
"Sourced events can only be edited in the source app.","Acara yang bersumber hanya dapat diedit di aplikasi sumber.",
Source Code,Kode Sumber,
Start Focus,Mulai Fokus,
State / Province,Provinsi,
"Street, number","Jalan, nomor",
Sync Now,Sinkronkan Sekarang,
Tag,Tag,
Tag cannot be empty,Tag tidak boleh kosong,
Tags,Tag,
Target not installed,Target tidak terinstal,
Task,Tugas,
"The settings component could not be loaded. Please reload the page.","Komponen pengaturan tidak dapat dimuat. Silakan muat ulang halaman.",
"This contact is archived and hidden from the People list.","Kontak ini diarsipkan dan disembunyikan dari daftar Orang.",
This is a reminder for your upcoming event,Ini adalah pengingat untuk acara Anda yang akan datang,
This person is marked as Do Not Contact.,Orang ini ditandai sebagai Jangan Hubungi.,
"This record is already linked to this discussion","Catatan ini sudah ditautkan ke diskusi ini",
Timer,Timer,
Timer running for {0} — did you forget?,Timer berjalan selama {0} — apakah Anda lupa?,
"To remove {0}, run:","Untuk menghapus {0}, jalankan:",
Try a different search term,Coba istilah pencarian yang berbeda,
Two-Factor Authentication,Autentikasi Dua Faktor,
"Two-factor authentication is not enabled on this site. Contact your administrator.","Autentikasi dua faktor tidak diaktifkan di situs ini. Hubungi administrator Anda.",
Two-way,Dua arah,
Type at least 2 characters to search,Ketik minimal 2 karakter untuk mencari,
Type to search...,Ketik untuk mencari...,
"Unknown notification_type '{0}' for app '{1}'","Tipe notifikasi '{0}' tidak dikenal untuk aplikasi '{1}'",
Unknown device,Perangkat tidak dikenal,
Unlink user — make external,Putuskan tautan pengguna — jadikan eksternal,
unsynced,tidak tersinkronisasi,
Update,Perbarui,
Update password,Perbarui kata sandi,
Updating...,Memperbarui...,
Upload file,Unggah file,
"Upload files like contracts, proposals, or documents.","Unggah file seperti kontrak, proposal, atau dokumen.",
Upload photo,Unggah foto,
Uploading...,Mengunggah...,
Uploading…,Mengunggah…,
View entry,Lihat entri,
Website,Situs web,
Where,Di mana,
Work,Kerja,
Write a note...,Tulis catatan...,
Write a note... (not linked to any record),Tulis catatan... (tidak terkait dengan catatan apa pun),
You,Anda,
You are not an attendee of this event.,Anda bukan peserta acara ini.,
"You can have a maximum of {0} bookmarks","Anda dapat memiliki maksimal {0} bookmark",
You can only change status of your own events.,Anda hanya dapat mengubah status acara Anda sendiri.,
You can only delete your own comments,Anda hanya dapat menghapus komentar Anda sendiri,
You can only delete your own events.,Anda hanya dapat menghapus acara Anda sendiri.,
You can only edit your own events.,Anda hanya dapat mengedit acara Anda sendiri.,
You can only edit your own notes,Anda hanya dapat mengedit catatan Anda sendiri,
"You can only manage attendees on your own events.","Anda hanya dapat mengelola peserta pada acara Anda sendiri.",
You can only view your own events.,Anda hanya dapat melihat acara Anda sendiri.,
"You do not have permission to comment on this record","Anda tidak memiliki izin untuk berkomentar pada catatan ini",
You have already reacted with {0},Anda sudah bereaksi dengan {0},
You have been invited to the following event,Anda telah diundang ke acara berikut,
Your attendance,Kehadiran Anda,
Your response,Tanggapan Anda,
Z→A,Z→A,
Rescheduled event: {0},Acara dijadwalkan ulang: {0},
