source,target,context
Link expires in:,Poveznica ističe za:,
Loading…,Učitavanje…,
Load more,Učitaj više,
Log out,Odjavi se,
Make private,Učini privatnim,
Mark all read,Označi sve kao pročitano,
Mark read,Označi kao pročitano,
Monday,Ponedjeljak,
More fields,Više polja,
My contacts,Moji kontakti,
My Account,Moj račun,
My Profile,Moj profil,
Never,Nikad,
New contact,Novi kontakt,
No contacts found,Nema pronađenih kontakata,
No expiry,Bez isteka,
None,Ništa,
No guest sessions yet.,Još nema gostujućih sesija.,
No recent items,Nema nedavnih stavki,
No recent items yet,Još nema nedavnih stavki,
No results for "{0}",Nema rezultata za „{0}",
"No results for ""{0}"" in {1}","Nema rezultata za „{0}" u {1}",
Notifications,Obavijesti,
Notification unavailable,Obavijest nedostupna,
Organization Defaults,Zadane postavke organizacije,
Organization settings updated — reload to apply,Postavke organizacije ažurirane — ponovno učitaj za primjenu,
Org default,Zadano za org.,
"Password, 2FA, profile picture","Lozinka, 2FA, profilna slika",
Pause,Pauziraj,
paused,pauzirano,
People,Osobe,
People with access,Osobe s pristupom,
Permissions,Dozvole,
Pinned,Prikvačeno,
Powered by Tonic,Pokreće Tonic,
Phone,Telefon,
Private,Privatno,
Product Manager,Product Manager,
Preferences,Osobne postavke,
Read,Čitanje,
Recent,Nedavno,
Reload,Ponovno učitaj,
Remove bookmark,Ukloni oznaku,
Remove from shared,Ukloni iz dijeljenih,
Remove from recent,Ukloni iz nedavnih,
Resume,Nastavi,
Retry,Pokušaj ponovo,
Revoke,Opozovi,
Revoked,Opozvano,
Revoke session,Opozovi sesiju,
Revoking…,Opozivanje…,
Saved,Spremljeno,
Save failed,Spremanje nije uspjelo,
Save organization settings,Spremi postavke organizacije,
Saving…,Spremanje…,
Search...,Pretraži...,
"Search by name, email, or phone…","Pretraži po imenu, e-mailu ili telefonu…",
Search users...,Pretraži korisnike...,
Share {0} {1},Podijeli {0} {1},
Submit,Pošalji,
Search in All apps,Pretraži u svim aplikacijama,
Search unavailable,Pretraživanje nedostupno,
selected,odabrano,
Share "{0}",Podijeli „{0}",
Share with team,Podijeli s timom,
Shared,Podijeljeno,
Shared with team,Podijeljeno s timom,
Share with client,Podijeli s klijentom,
Showing {0} of {1} sessions,Prikazano {0} od {1} sesija,
Site label,Oznaka stranice,
Sort: A–Z — click for last modified,Sortiranje: A–Ž — klikni za zadnje izmijenjeno,
Sort: last modified — click for A–Z,Sortiranje: zadnje izmijenjeno — klikni za A–Ž,
Start,Pokreni,
Start Timer,Pokreni mjerač,
Status,Status,
Stop,Zaustavi,
Stop & Save,Zaustavi i spremi,
Sunday,Nedjelja,
System,Sustav,
Theme,Tema,
Theme preference,Postavka teme,
This email is already on,Ovaj e-mail je već dodan,
This link has been deactivated.,Ova poveznica je deaktivirana.,
This link has expired. Please ask the sender for a new link.,Ova poveznica je istekla. Zatraži novu poveznicu od pošiljatelja.,
This link is invalid or has been removed.,Ova poveznica je nevažeća ili je uklonjena.,
Time,Vrijeme,
Time entry saved,Vremenski unos spremljen,
Timer unavailable,Mjerač vremena nedostupan,
Timezone,Vremenska zona,
total,ukupno,
Try again,Pokušaj ponovo,
Unread,Nepročitano,
Open calendar,Otvori kalendar,
Open in Desk,Otvori u Desku,
Open in {0},Otvori u {0},
User menu,Korisnički izbornik,
View existing →,Prikaži postojeće →,
Visibility,Vidljivost,
View,Pregledaj,
View all notifications,Prikaži sve obavijesti,
View time entry,Prikaži vremenski unos,
Week starts on,Tjedan počinje u,
Write,Pisanje,
What are you working on?,Na čemu radiš?,
You're all caught up,Sve je pročitano,
Your Preferences,Tvoje postavke,
Your timer has been running for {0},Tvoj mjerač vremena radi već {0},
Actions,Radnje,
Add details about this event...,Dodaj pojedinosti o ovom događaju...,
Add event,Dodaj događaj,
Agenda,Raspored,
All day,Cijeli dan,
Calendar,Kalendar,
Create Event,Kreiraj događaj,
Create in:,Kreiraj u:,
Day,Dan,
Deadline,Rok,
Delete Event,Obriši događaj,
Delete this event? This cannot be undone.,Obrisati ovaj događaj? Ovo se ne može poništiti.,
Deleting…,Brisanje…,
Description,Opis,
Details,Pojedinosti,
End,Kraj,
Event,Događaj,
Event title,Naslov događaja,
Failed to create event,Kreiranje događaja nije uspjelo,
Failed to delete event,Brisanje događaja nije uspjelo,
Manage this event in,Upravljaj ovim događajem u,
Meeting,Sastanak,
Milestone,Prekretnica,
Month,Mjesec,
My calendars,Moji kalendari,
New Event,Novi događaj,
No actions available,Nema dostupnih radnji,
No events,Nema događaja,
Open in,Otvori u,
Other,Ostalo,
Permanently remove this event,Trajno ukloni ovaj događaj,
Review,Pregled,
Source,Izvor,
Start date/time is required,Datum/vrijeme početka je obavezno,
Title,Naslov,
Title is required,Naslov je obavezan,
Today,Danas,
Type,Vrsta,
View full details in the source app,Prikaži sve pojedinosti u izvornoj aplikaciji,
Week,Tjedan,
When,Kada,
{0} available,{0} dostupno,
Available,Dostupno,
Configure Frappe Manager to enable one-click updates.,Konfiguriraj Frappe Manager za omogućavanje ažuriranja jednim klikom.,
Copy command,Kopiraj naredbu,
Ecosystem Apps,Aplikacije ekosustava,
Failed,Neuspjelo,
Install,Instaliraj,
Installed,Instalirano,
Learn more,Saznaj više,
No apps found,Nema pronađenih aplikacija,
not installed,nije instalirano,
Open,Otvori,
Pro available,Pro dostupan,
Queued…,U redu čekanja…,
Refresh,Osvježi,
Remove,Ukloni,
"Remove {0}? This will uninstall the app and may affect data.","Ukloniti {0}? Ovo će deinstalirati aplikaciju i može utjecati na podatke.",
Restart required,Potrebno ponovno pokretanje,
Restarting…,Ponovno pokretanje…,
"To install {0}, run:","Za instalaciju {0}, pokreni:",
"To update {0}, run:","Za ažuriranje {0}, pokreni:",
"Update {0} from v{1} to {2}? This will restart Frappe.","Ažurirati {0} s v{1} na {2}? Ovo će ponovno pokrenuti Frappe.",
Update to {0},Ažuriraj na {0},
Updated,Ažurirano,
Updating…,Ažuriranje…,
Up to date,Ažurno,
to version,na verziju,
For whom?,Za koga?,
Working on?,Na čemu?,
Search contacts...,Pretraži kontakte...,
Select type...,Odaberi vrstu...,
Context,Kontekst,
Contact,Kontakt,
Context Type,Vrsta konteksta,
Activity,Aktivnost,
Activity will appear here as you and your team work across ecosystem apps.,Aktivnost će se pojaviti ovdje dok ti i tvoj tim radite u aplikacijama ekosustava.,
Acknowledge,Potvrdi,
All apps,Sve aplikacije,
All Discussions,Sve rasprave,
All types,Sve vrste,
Archived,Arhivirano,
Cancel,Odustani,
Celebrate,Proslavi,
Comments,Komentari,
Create Discussion,Kreiraj raspravu,
Creating…,Kreiranje…,
Ctrl+Enter to send,Ctrl+Enter za slanje,
Decision,Odluka,
Discussion not found,Rasprava nije pronađena,
Discussion title,Naslov rasprave,
Discussions,Rasprave,
Flag,Označi zastavicom,
General,Općenito,
just now,upravo sada,
Keep commenting,Nastavi komentirati,
Linked Records,Povezani zapisi,
Linked to,Povezano s,
Load more,Učitaj više,
Loading…,Učitavanje…,
Meeting Protocol,Zapisnik sastanka,
Mentioned,Spomenuto,
New Discussion,Nova rasprava,
No activity yet,Još nema aktivnosti,
No comments yet,Još nema komentara,
No discussions found,Nema pronađenih rasprava,
No discussions yet,Još nema rasprava,
Note,Bilješka,
Notes,Bilješke,
Participants,Sudionici,
Pin,Prikvači,
Pinned,Prikvačeno,
Proposal,Prijedlog,
Protocol,Zapisnik,
Reopen,Ponovno otvori,
Replies,Odgovori,
Reply,Odgovori,
Replying to comment,Odgovor na komentar,
Resolve,Riješi,
Resolve Discussion,Riješi raspravu,
Resolved,Riješeno,
Resolution,Rješenje,
Resolution summary...,Sažetak rješenja...,
Retrospective,Retrospektiva,
Search discussions...,Pretraži rasprave...,
Seen,Viđeno,
Send,Pošalji,
Start Discussion,Pokreni raspravu,
Unpin,Odkvači,
Write a comment...,Napiši komentar...,
Write your discussion content...,Napiši sadržaj rasprave...,
resolved,riješeno,
unread,nepročitano,
{0} mentioned you in a comment,{0} te spomenuo/la u komentaru,
{0} is already an attendee.,{0} je već sudionik.,
{0} is not an attendee.,{0} nije sudionik.,
{0} is not installed,{0} nije instalirano,
{0} results found,Pronađeno {0} rezultata,
+ Add tags,+ Dodaj oznake,
A→Z,A→Ž,
Accept,Prihvati,
Action failed,Radnja nije uspjela,
Active now,Trenutno aktivno,
Add a note,Dodaj bilješku,
"Add a note to keep track of details about this contact.","Dodaj bilješku za praćenje pojedinosti o ovom kontaktu.",
Add address,Dodaj adresu,
Add another address,Dodaj još jednu adresu,
Add birthday,Dodaj datum rođenja,
Add company,Dodaj tvrtku,
Add job title,Dodaj radno mjesto,
Add more tags...,Dodaj više oznaka...,
Add tags...,Dodaj oznake...,
"Address is not linked to this contact","Adresa nije povezana s ovim kontaktom",
"Address line 1, city, and country are required","Adresa (redak 1), grad i država su obavezni",
ago,prije,
All companies,Sve tvrtke,
All day event,Cjelodnevni događaj,
"Apartment, suite, etc.","Stan, ured itd.",
Apps,Aplikacije,
Archive contact,Arhiviraj kontakt,
Attendees,Sudionici,
available,dostupno,
Best regards,Srdačan pozdrav,
Bookmarks,Oznake,
"Both proposed start and end times are required.","Predloženo vrijeme početka i završetka je obavezno.",
Break,Pauza,
Bridge not registered,Most nije registriran,
Calendar Settings,Postavke kalendara,
Call,Poziv,
Cannot change bookmark owner,Nije moguće promijeniti vlasnika oznake,
Cannot revoke your current session,Nije moguće opozvati trenutnu sesiju,
Change Password,Promijeni lozinku,
Change photo,Promijeni fotografiju,
Check Status,Provjeri status,
City,Grad,
Clear,Očisti,
Clear filters,Očisti filtere,
Close search,Zatvori pretraživanje,
Cmd+Enter to save,Cmd+Enter za spremanje,
Coming soon,Uskoro,
Coming up!,Uskoro!,
Comment,Komentar,
Community Edition,Community izdanje,
Complete,Dovršeno,
Confirm new password,Potvrdi novu lozinku,
Copy,Kopiraj,
Could not load notes,Bilješke se ne mogu učitati,
Country,Država,
"Country '{0}' not found. Please select a valid country.","Država '{0}' nije pronađena. Odaberi valjanu državu.",
Create a contact to get started,Kreiraj kontakt za početak,
Created event: {0},Kreiran događaj: {0},
Creating...,Kreiranje...,
Current,Trenutno,
Current password,Trenutna lozinka,
Current password is incorrect,Trenutna lozinka je netočna,
Currency,Valuta,
Date,Datum,
Decline,Odbij,
Department,Odjel,
Do Not Contact,Ne kontaktiraj,
Dock,Dock,
Download,Preuzmi,
"e.g. en, fr, de","npr. en, fr, de",
Edit,Uredi,
Edit address,Uredi adresu,
Edit Timer,Uredi mjerač,
Email addresses,E-mail adrese,
Enabled,Omogućeno,
"End time was before start time. Adjusted to 1 hour after start.","Završno vrijeme je bilo prije početnog. Prilagođeno na 1 sat nakon početka.",
Error,Greška,
Event '{0}' status changed to {1},Status događaja '{0}' promijenjen u {1},
Event Type,Vrsta događaja,
events,događaji,
External,Vanjski,
External — no user account,Vanjski — nema korisnički račun,
Failed to change password,Promjena lozinke nije uspjela,
Failed to check status,Provjera statusa nije uspjela,
Failed to load apps,Učitavanje aplikacija nije uspjelo,
Failed to load settings,Učitavanje postavki nije uspjelo,
"Field '{0}' is not editable","Polje '{0}' nije moguće uređivati",
Files,Datoteke,
First Name,Ime,
Focus,Fokus,
"Frappe Manager URL is not configured in Dock Settings.","URL Frappe Managera nije konfiguriran u Dock Postavkama.",
Hello {0},Bok {0},
Inactive,Neaktivno,
Integrations,Integracije,
Internal,Interni,
Internal — has a user account,Interni — ima korisnički račun,
Invalid RSVP status,Nevažeći RSVP status,
Invalid status,Nevažeći status,
"Invalid status. Must be one of: {0}","Nevažeći status. Mora biti jedan od: {0}",
"Invitation: {0} — {1} at {2}","Pozivnica: {0} — {1} u {2}",
Invite People,Pozovi osobe,
Join meeting →,Pridruži se sastanku →,
Language,Jezik,
Last activity,Zadnja aktivnost,
Last modified,Zadnja izmjena,
Last Name,Prezime,
Last sync,Zadnja sinkronizacija,
Link user account,Poveži korisnički račun,
Linked records,Povezani zapisi,
Loading settings...,Učitavanje postavki...,
Loading...,Učitavanje...,
Location,Lokacija,
Mark Do Not Contact,Označi kao Ne kontaktiraj,
Maybe,Možda,
Meeting Link,Poveznica na sastanak,
Meeting title,Naslov sastanka,
Meeting URL,URL sastanka,
Mine,Moji,
Modified,Izmijenjeno,
navigate,navigiraj,
New note,Nova bilješka,
New password,Nova lozinka,
new tab,nova kartica,
New tag,Nova oznaka,
No active sessions found,Nema aktivnih sesija,
No activity,Nema aktivnosti,
No attendees,Nema sudionika,
No bookmarks yet,Još nema oznaka,
No bridges registered,Nema registriranih mostova,
No contacts match these filters,Nijedan kontakt ne odgovara ovim filterima,
No file uploaded,Nijedna datoteka nije učitana,
No files attached,Nema priloženih datoteka,
No notes yet,Još nema bilješki,
No results found,Nema pronađenih rezultata,
No settings registered for this app.,Nema registriranih postavki za ovu aplikaciju.,
No status endpoint declared,Nije deklarirana statusna krajnja točka,
No sync endpoint declared,Nije deklarirana krajnja točka za sinkronizaciju,
No tags found,Nema pronađenih oznaka,
Not checked,Nije provjereno,
Not configured,Nije konfigurirano,
Not permitted,Nije dozvoljeno,
Note content cannot be empty,Sadržaj bilješke ne može biti prazan,
Notification Settings,Postavke obavijesti,
Number format,Format broja,
One-way,Jednosmjerno,
"Only native Dock events can be deleted here.","Samo izvorne Dock događaje je moguće obrisati ovdje.",
"Only System Manager can trigger bridge sync","Samo System Manager može pokrenuti sinkronizaciju mosta",
"Only System Manager can view sync logs","Samo System Manager može vidjeti zapise sinkronizacije",
"Only the contact owner can change the photo","Samo vlasnik kontakta može promijeniti fotografiju",
"Only the contact owner can edit this contact","Samo vlasnik kontakta može uređivati ovaj kontakt",
"Only the event organizer can send invitations.","Samo organizator događaja može slati pozivnice.",
"Only the session creator or a Dock Manager can revoke sessions","Samo kreator sesije ili Dock Manager može opozvati sesije",
open,otvori,
Open app switcher,Otvori prebacivanje aplikacija,
Optional,Neobavezno,
optional,neobavezno,
Organizer,Organizator,
Owner,Vlasnik,
Password updated,Lozinka ažurirana,
Passwords don't match,Lozinke se ne podudaraju,
Permission denied,Pristup odbijen,
Phone numbers,Telefonski brojevi,
Pin items from any app using the bookmark button in the top bar,Prikvači stavke iz bilo koje aplikacije koristeći gumb za oznake u gornjoj traci,
Please fill in all password fields,Ispuni sva polja za lozinku,
Please log in to access Dock.,Prijavi se za pristup Docku.,
"Please respond to this invitation in the calendar","Odgovori na ovu pozivnicu u kalendaru",
Postal code,Poštanski broj,
Primary,Primarno,
Primary address,Primarna adresa,
Privacy Policy,Pravila privatnosti,
Profile,Profil,
Refresh All,Osvježi sve,
"Reminder: {0} — {1} at {2}","Podsjetnik: {0} — {1} u {2}",
Remove Do Not Contact,Ukloni oznaku Ne kontaktiraj,
Remove tag,Ukloni oznaku,
Required,Obavezno,
required,obavezno,
Respond in,Odgovori u,
Restore,Vrati,
Restore from archive,Vrati iz arhive,
Revoking...,Opozivanje...,
Room or address,Prostorija ili adresa,
Save,Spremi,
Saving...,Spremanje...,
Search,Pretraži,
Search for people to invite...,Pretraži osobe za pozivanje...,
Search is temporarily unavailable,Pretraživanje je privremeno nedostupno,
Search results,Rezultati pretraživanja,
Search scope,Opseg pretraživanja,
Search user by name or email…,Pretraži korisnika po imenu ili e-mailu…,
Searching...,Pretraživanje...,
Security,Sigurnost,
"Send an email or add a note to get started.","Pošalji e-mail ili dodaj bilješku za početak.",
Session {0}/{1},Sesija {0}/{1},
Sessions,Sesije,
Settings,Postavke,
Settings not found,Postavke nisu pronađene,
Share,Podijeli,
Show,Prikaži,
Show less,Prikaži manje,
Social profiles,Profili na društvenim mrežama,
"Sourced events can only be edited in the source app.","Događaje iz drugih izvora je moguće uređivati samo u izvornoj aplikaciji.",
Source Code,Izvorni kod,
Start Focus,Pokreni fokus,
State / Province,Županija / Pokrajina,
"Street, number","Ulica, broj",
Sync Now,Sinkroniziraj sada,
Tag,Oznaka,
Tag cannot be empty,Oznaka ne može biti prazna,
Tags,Oznake,
Target not installed,Cilj nije instaliran,
Task,Zadatak,
"The settings component could not be loaded. Please reload the page.","Komponenta postavki se ne može učitati. Ponovno učitaj stranicu.",
"This contact is archived and hidden from the People list.","Ovaj kontakt je arhiviran i skriven s popisa Osobe.",
This is a reminder for your upcoming event,Ovo je podsjetnik za tvoj nadolazeći događaj,
This person is marked as Do Not Contact.,Ova osoba je označena kao Ne kontaktiraj.,
"This record is already linked to this discussion","Ovaj zapis je već povezan s ovom raspravom",
Timer,Mjerač vremena,
Timer running for {0} — did you forget?,Mjerač vremena radi već {0} — jesi li zaboravio/la?,
"To remove {0}, run:","Za uklanjanje {0}, pokreni:",
Try a different search term,Pokušaj s drugim pojmom za pretraživanje,
Two-Factor Authentication,Dvofaktorska autentifikacija,
"Two-factor authentication is not enabled on this site. Contact your administrator.","Dvofaktorska autentifikacija nije omogućena na ovoj stranici. Kontaktiraj svog administratora.",
Two-way,Dvosmjerno,
Type at least 2 characters to search,Upiši najmanje 2 znaka za pretraživanje,
Type to search...,Upiši za pretraživanje...,
"Unknown notification_type '{0}' for app '{1}'","Nepoznat notification_type '{0}' za aplikaciju '{1}'",
Unknown device,Nepoznat uređaj,
Unlink user — make external,Odspoji korisnika — učini vanjskim,
unsynced,nesinkronizirano,
Update,Ažuriraj,
Update password,Ažuriraj lozinku,
Updating...,Ažuriranje...,
Upload file,Učitaj datoteku,
"Upload files like contracts, proposals, or documents.","Učitaj datoteke poput ugovora, prijedloga ili dokumenata.",
Upload photo,Učitaj fotografiju,
Uploading...,Učitavanje...,
Uploading…,Učitavanje…,
View entry,Prikaži unos,
Website,Web stranica,
Where,Gdje,
Work,Posao,
Write a note...,Napiši bilješku...,
Write a note... (not linked to any record),Napiši bilješku... (nije povezana ni s jednim zapisom),
You,Ti,
You are not an attendee of this event.,Nisi sudionik ovog događaja.,
"You can have a maximum of {0} bookmarks","Možeš imati najviše {0} oznaka",
You can only change status of your own events.,Možeš mijenjati status samo svojih događaja.,
You can only delete your own comments,Možeš brisati samo vlastite komentare,
You can only delete your own events.,Možeš brisati samo vlastite događaje.,
You can only edit your own events.,Možeš uređivati samo vlastite događaje.,
You can only edit your own notes,Možeš uređivati samo vlastite bilješke,
"You can only manage attendees on your own events.","Možeš upravljati sudionicima samo na vlastitim događajima.",
You can only view your own events.,Možeš pregledavati samo vlastite događaje.,
"You do not have permission to comment on this record","Nemaš dozvolu za komentiranje ovog zapisa",
You have already reacted with {0},Već si reagirao/la s {0},
You have been invited to the following event,Pozvan/a si na sljedeći događaj,
Your attendance,Tvoj dolazak,
Your response,Tvoj odgovor,
Z→A,Ž→A,
Rescheduled event: {0},Prekazan događaj: {0},
