source,target,context
Jane Smith,Jane Smith,
Job title,Jobbtitel,
Keep running,Fortsätt köra,
Label,Etikett,
Last accessed,Senast använd,
Light,Ljust,
Limit,Gräns,
Link expires in:,Länken utgår om:,
Loading…,Laddar…,
Load more,Ladda fler,
Log out,Logga ut,
Make private,Gör privat,
Mark all read,Markera alla som lästa,
Mark read,Markera som läst,
Monday,Måndag,
More fields,Fler fält,
My contacts,Mina kontakter,
My Account,Mitt konto,
My Profile,Min profil,
Never,Aldrig,
New contact,Ny kontakt,
No contacts found,Inga kontakter hittades,
No expiry,Ingen utgång,
None,Ingen,
No guest sessions yet.,Inga gästsessioner ännu.,
No recent items,Inga senaste objekt,
No recent items yet,Inga senaste objekt ännu,
No results for "{0}",Inga resultat för "{0}",
"No results for ""{0}"" in {1}","Inga resultat för ""{0}"" i {1}",
Notifications,Aviseringar,
Notification unavailable,Avisering otillgänglig,
Organization Defaults,Organisationens standardvärden,
Organization settings updated — reload to apply,Organisationsinställningar uppdaterade — ladda om för att tillämpa,
Org default,Org-standard,
"Password, 2FA, profile picture","Lösenord, 2FA, profilbild",
Pause,Pausa,
paused,pausad,
People,Personer,
People with access,Personer med åtkomst,
Permissions,Behörigheter,
Pinned,Fäst,
Powered by Tonic,Drivs av Tonic,
Phone,Telefon,
Private,Privat,
Product Manager,Product Manager,
Preferences,Inställningar,
Read,Läsa,
Recent,Senaste,
Reload,Ladda om,
Remove bookmark,Ta bort bokmärke,
Remove from shared,Ta bort från delade,
Remove from recent,Ta bort från senaste,
Resume,Återuppta,
Retry,Försök igen,
Revoke,Återkalla,
Revoked,Återkallad,
Revoke session,Återkalla session,
Revoking…,Återkallar…,
Saved,Sparat,
Save failed,Kunde inte spara,
Save organization settings,Spara organisationsinställningar,
Saving…,Sparar…,
Search...,Sök...,
"Search by name, email, or phone…","Sök på namn, e-post eller telefon…",
Search users...,Sök användare...,
Share {0} {1},Dela {0} {1},
Submit,Skicka,
Search in All apps,Sök i alla appar,
Search unavailable,Sökning otillgänglig,
selected,vald,
"Share ""{0}""","Dela ""{0}""",
Share with team,Dela med teamet,
Shared,Delad,
Shared with team,Delad med teamet,
Share with client,Dela med kund,
Showing {0} of {1} sessions,Visar {0} av {1} sessioner,
Site label,Webbplatsetikett,
Sort: A–Z — click for last modified,Sortering: A–Ö — klicka för senast ändrad,
Sort: last modified — click for A–Z,Sortering: senast ändrad — klicka för A–Ö,
Start,Starta,
Start Timer,Starta timer,
Status,Status,
Stop,Stoppa,
Stop & Save,Stoppa och spara,
Sunday,Söndag,
System,System,
Theme,Tema,
Theme preference,Temainställning,
This email is already on,Denna e-postadress finns redan på,
This link has been deactivated.,Denna länk har inaktiverats.,
This link has expired. Please ask the sender for a new link.,Denna länk har utgått. Be avsändaren om en ny länk.,
This link is invalid or has been removed.,Denna länk är ogiltig eller har tagits bort.,
Time,Tid,
Time entry saved,Tidsregistrering sparad,
Timer unavailable,Timer otillgänglig,
Timezone,Tidszon,
total,totalt,
Try again,Försök igen,
Unread,Oläst,
Open calendar,Öppna kalender,
Open in Desk,Öppna i Desk,
Open in {0},Öppna i {0},
User menu,Användarmeny,
View existing →,Visa befintliga →,
Visibility,Synlighet,
View,Visa,
View all notifications,Visa alla aviseringar,
View time entry,Visa tidsregistrering,
Week starts on,Veckan börjar på,
Write,Skriva,
What are you working on?,Vad jobbar du med?,
You're all caught up,Du är i kapp,
Your Preferences,Dina inställningar,
Your timer has been running for {0},Din timer har kört i {0},
Actions,Åtgärder,
Add details about this event...,Lägg till detaljer om denna händelse...,
Add event,Lägg till händelse,
Agenda,Agenda,
All day,Heldag,
Calendar,Kalender,
Create Event,Skapa händelse,
Create in:,Skapa i:,
Day,Dag,
Deadline,Deadline,
Delete Event,Radera händelse,
Delete this event? This cannot be undone.,Radera denna händelse? Detta kan inte ångras.,
Deleting…,Raderar…,
Description,Beskrivning,
Details,Detaljer,
End,Slut,
Event,Händelse,
Event title,Händelsetitel,
Failed to create event,Kunde inte skapa händelse,
Failed to delete event,Kunde inte radera händelse,
Manage this event in,Hantera denna händelse i,
Meeting,Möte,
Milestone,Milstolpe,
Month,Månad,
My calendars,Mina kalendrar,
New Event,Ny händelse,
No actions available,Inga åtgärder tillgängliga,
No events,Inga händelser,
Open in,Öppna i,
Other,Övrigt,
Permanently remove this event,Ta bort denna händelse permanent,
Review,Granskning,
Source,Källa,
Start date/time is required,Startdatum/-tid krävs,
Title,Titel,
Title is required,Titel krävs,
Today,Idag,
Type,Typ,
View full details in the source app,Visa fullständiga detaljer i källappen,
Week,Vecka,
When,När,
{0} available,{0} tillgänglig,
Available,Tillgänglig,
Configure Frappe Manager to enable one-click updates.,Konfigurera Frappe Manager för att aktivera uppdatering med ett klick.,
Copy command,Kopiera kommando,
Ecosystem Apps,Ekosystemappar,
Failed,Misslyckades,
Install,Installera,
Installed,Installerad,
Learn more,Läs mer,
No apps found,Inga appar hittades,
not installed,inte installerad,
Open,Öppna,
Pro available,Pro tillgänglig,
Queued…,Köad…,
Refresh,Uppdatera,
Remove,Ta bort,
Remove {0}? This will uninstall the app and may affect data.,Ta bort {0}? Detta avinstallerar appen och kan påverka data.,
Restart required,Omstart krävs,
Restarting…,Startar om…,
"To install {0}, run:","För att installera {0}, kör:",
"To update {0}, run:","För att uppdatera {0}, kör:",
"Update {0} from v{1} to {2}? This will restart Frappe.","Uppdatera {0} från v{1} till {2}? Detta startar om Frappe.",
Update to {0},Uppdatera till {0},
Updated,Uppdaterad,
Updating…,Uppdaterar…,
Up to date,Uppdaterad,
to version,till version,
For whom?,För vem?,
Working on?,Jobbar med?,
Search contacts...,Sök kontakter...,
Select type...,Välj typ...,
Context,Kontext,
Contact,Kontakt,
Context Type,Kontexttyp,
Activity,Aktivitet,
Activity will appear here as you and your team work across ecosystem apps.,Aktivitet visas här när du och ditt team arbetar i ekosystemets appar.,
Acknowledge,Bekräfta,
All apps,Alla appar,
All Discussions,Alla diskussioner,
All types,Alla typer,
Archived,Arkiverad,
Cancel,Avbryt,
Celebrate,Fira,
Comments,Kommentarer,
Create Discussion,Skapa diskussion,
Creating…,Skapar…,
Ctrl+Enter to send,Ctrl+Enter för att skicka,
Decision,Beslut,
Discussion not found,Diskussionen hittades inte,
Discussion title,Diskussionstitel,
Discussions,Diskussioner,
Flag,Flagga,
General,Allmänt,
just now,just nu,
Keep commenting,Fortsätt kommentera,
Linked Records,Länkade poster,
Linked to,Länkad till,
Load more,Ladda fler,
Loading…,Laddar…,
Meeting Protocol,Mötesprotokoll,
Mentioned,Omnämnd,
New Discussion,Ny diskussion,
No activity yet,Ingen aktivitet ännu,
No comments yet,Inga kommentarer ännu,
No discussions found,Inga diskussioner hittades,
No discussions yet,Inga diskussioner ännu,
Note,Anteckning,
Notes,Anteckningar,
Participants,Deltagare,
Pin,Fäst,
Pinned,Fäst,
Proposal,Förslag,
Protocol,Protokoll,
Reopen,Öppna igen,
Replies,Svar,
Reply,Svara,
Replying to comment,Svarar på kommentar,
Resolve,Lös,
Resolve Discussion,Lös diskussion,
Resolved,Löst,
Resolution,Lösning,
Resolution summary...,Sammanfattning av lösning...,
Retrospective,Retrospektiv,
Search discussions...,Sök diskussioner...,
Seen,Sedd,
Send,Skicka,
Start Discussion,Starta diskussion,
Unpin,Lossa,
Write a comment...,Skriv en kommentar...,
Write your discussion content...,Skriv ditt diskussionsinnehåll...,
resolved,löst,
unread,oläst,
{0} mentioned you in a comment,{0} nämnde dig i en kommentar,
{0} is already an attendee.,{0} är redan deltagare.,
{0} is not an attendee.,{0} är inte deltagare.,
{0} is not installed,{0} är inte installerad,
{0} results found,{0} resultat hittades,
+ Add tags,+ Lägg till taggar,
A→Z,A→Ö,
Accept,Acceptera,
Action failed,Åtgärden misslyckades,
Active now,Aktiv nu,
Add a note,Lägg till anteckning,
"Add a note to keep track of details about this contact.","Lägg till en anteckning för att hålla koll på detaljer om denna kontakt.",
Add address,Lägg till adress,
Add another address,Lägg till ytterligare adress,
Add birthday,Lägg till födelsedag,
Add company,Lägg till företag,
Add job title,Lägg till jobbtitel,
Add more tags...,Lägg till fler taggar...,
Add tags...,Lägg till taggar...,
"Address is not linked to this contact","Adressen är inte kopplad till denna kontakt",
"Address line 1, city, and country are required","Adressrad 1, ort och land krävs",
ago,sedan,
All companies,Alla företag,
All day event,Heldagshändelse,
"Apartment, suite, etc.","Lägenhet, svit m.m.",
Apps,Appar,
Archive contact,Arkivera kontakt,
Attendees,Deltagare,
available,tillgänglig,
Best regards,Med vänliga hälsningar,
Bookmarks,Bokmärken,
"Both proposed start and end times are required.","Både föreslagen start- och sluttid krävs.",
Break,Rast,
Bridge not registered,Brygga inte registrerad,
Calendar Settings,Kalenderinställningar,
Call,Ring,
Cannot change bookmark owner,Kan inte ändra bokmärkets ägare,
Cannot revoke your current session,Kan inte återkalla din nuvarande session,
Change Password,Ändra lösenord,
Change photo,Byt foto,
Check Status,Kontrollera status,
City,Ort,
Clear,Rensa,
Clear filters,Rensa filter,
Close search,Stäng sök,
Cmd+Enter to save,Cmd+Enter för att spara,
Coming soon,Kommer snart,
Coming up!,Snart!,
Comment,Kommentar,
Community Edition,Community Edition,
Complete,Slutförd,
Confirm new password,Bekräfta nytt lösenord,
Copy,Kopiera,
Could not load notes,Kunde inte ladda anteckningar,
Country,Land,
"Country '{0}' not found. Please select a valid country.","Landet '{0}' hittades inte. Välj ett giltigt land.",
Create a contact to get started,Skapa en kontakt för att komma igång,
Created event: {0},Skapade händelse: {0},
Creating...,Skapar...,
Current,Nuvarande,
Current password,Nuvarande lösenord,
Current password is incorrect,Nuvarande lösenord är felaktigt,
Currency,Valuta,
Date,Datum,
Decline,Avböj,
Department,Avdelning,
Do Not Contact,Kontakta ej,
Dock,Dock,
Download,Ladda ner,
"e.g. en, fr, de","t.ex. en, fr, de",
Edit,Redigera,
Edit address,Redigera adress,
Edit Timer,Redigera timer,
Email addresses,E-postadresser,
Enabled,Aktiverad,
"End time was before start time. Adjusted to 1 hour after start.","Sluttiden var före starttiden. Justerad till 1 timme efter start.",
Error,Fel,
Event '{0}' status changed to {1},Händelsen '{0}' status ändrad till {1},
Event Type,Händelsetyp,
events,händelser,
External,Extern,
External — no user account,Extern — inget användarkonto,
Failed to change password,Kunde inte ändra lösenord,
Failed to check status,Kunde inte kontrollera status,
Failed to load apps,Kunde inte ladda appar,
Failed to load settings,Kunde inte ladda inställningar,
"Field '{0}' is not editable","Fältet '{0}' kan inte redigeras",
Files,Filer,
First Name,Förnamn,
Focus,Fokus,
"Frappe Manager URL is not configured in Dock Settings.","Frappe Manager-URL är inte konfigurerad i Dock-inställningar.",
Hello {0},Hej {0},
Inactive,Inaktiv,
Integrations,Integrationer,
Internal,Intern,
Internal — has a user account,Intern — har ett användarkonto,
Invalid RSVP status,Ogiltig RSVP-status,
Invalid status,Ogiltig status,
"Invalid status. Must be one of: {0}","Ogiltig status. Måste vara en av: {0}",
"Invitation: {0} — {1} at {2}","Inbjudan: {0} — {1} kl. {2}",
Invite People,Bjud in personer,
Join meeting →,Gå med i möte →,
Language,Språk,
Last activity,Senaste aktivitet,
Last modified,Senast ändrad,
Last Name,Efternamn,
Last sync,Senaste synk,
Link user account,Länka användarkonto,
Linked records,Länkade poster,
Loading settings...,Laddar inställningar...,
Loading...,Laddar...,
Location,Plats,
Mark Do Not Contact,Markera som Kontakta ej,
Maybe,Kanske,
Meeting Link,Möteslänk,
Meeting title,Mötestitel,
Meeting URL,Mötes-URL,
Mine,Mina,
Modified,Ändrad,
navigate,navigera,
New note,Ny anteckning,
New password,Nytt lösenord,
new tab,ny flik,
New tag,Ny tagg,
No active sessions found,Inga aktiva sessioner hittades,
No activity,Ingen aktivitet,
No attendees,Inga deltagare,
No bookmarks yet,Inga bokmärken ännu,
No bridges registered,Inga bryggor registrerade,
No contacts match these filters,Inga kontakter matchar dessa filter,
No file uploaded,Ingen fil uppladdad,
No files attached,Inga filer bifogade,
No notes yet,Inga anteckningar ännu,
No results found,Inga resultat hittades,
No settings registered for this app.,Inga inställningar registrerade för denna app.,
No status endpoint declared,Ingen statusändpunkt deklarerad,
No sync endpoint declared,Ingen synkändpunkt deklarerad,
No tags found,Inga taggar hittades,
Not checked,Inte kontrollerad,
Not configured,Inte konfigurerad,
Not permitted,Inte tillåtet,
Note content cannot be empty,Anteckningsinnehåll kan inte vara tomt,
Notification Settings,Aviseringsinställningar,
Number format,Nummerformat,
One-way,Envägs,
"Only native Dock events can be deleted here.","Endast Docks egna händelser kan raderas här.",
"Only System Manager can trigger bridge sync","Endast systemadministratör kan utlösa bryggsynkronisering",
"Only System Manager can view sync logs","Endast systemadministratör kan visa synkloggar",
"Only the contact owner can change the photo","Endast kontaktägaren kan ändra fotot",
"Only the contact owner can edit this contact","Endast kontaktägaren kan redigera denna kontakt",
"Only the event organizer can send invitations.","Endast arrangören kan skicka inbjudningar.",
"Only the session creator or a Dock Manager can revoke sessions","Endast den som skapade sessionen eller en Dock-administratör kan återkalla sessioner",
open,öppna,
Open app switcher,Öppna appväxlare,
Optional,Valfritt,
optional,valfritt,
Organizer,Arrangör,
Owner,Ägare,
Password updated,Lösenord uppdaterat,
Passwords don't match,Lösenorden matchar inte,
Permission denied,Åtkomst nekad,
Phone numbers,Telefonnummer,
Pin items from any app using the bookmark button in the top bar,Fäst objekt från valfri app med bokmärkesknappen i toppfältet,
Please fill in all password fields,Fyll i alla lösenordsfält,
Please log in to access Dock.,Logga in för att komma åt Dock.,
"Please respond to this invitation in the calendar","Svara på denna inbjudan i kalendern",
Postal code,Postnummer,
Primary,Primär,
Primary address,Primär adress,
Privacy Policy,Integritetspolicy,
Profile,Profil,
Refresh All,Uppdatera alla,
"Reminder: {0} — {1} at {2}","Påminnelse: {0} — {1} kl. {2}",
Remove Do Not Contact,Ta bort Kontakta ej,
Remove tag,Ta bort tagg,
Required,Obligatoriskt,
required,obligatoriskt,
Respond in,Svara i,
Restore,Återställ,
Restore from archive,Återställ från arkiv,
Revoking...,Återkallar...,
Room or address,Rum eller adress,
Save,Spara,
Saving...,Sparar...,
Search,Sök,
Search for people to invite...,Sök efter personer att bjuda in...,
Search is temporarily unavailable,Sökning är tillfälligt otillgänglig,
Search results,Sökresultat,
Search scope,Sökområde,
Search user by name or email…,Sök användare på namn eller e-post…,
Searching...,Söker...,
Security,Säkerhet,
"Send an email or add a note to get started.","Skicka ett e-postmeddelande eller lägg till en anteckning för att komma igång.",
Session {0}/{1},Session {0}/{1},
Sessions,Sessioner,
Settings,Inställningar,
Settings not found,Inställningar hittades inte,
Share,Dela,
Show,Visa,
Show less,Visa mindre,
Social profiles,Sociala profiler,
"Sourced events can only be edited in the source app.","Importerade händelser kan bara redigeras i källappen.",
Source Code,Källkod,
Start Focus,Starta fokus,
State / Province,Delstat / provins,
"Street, number","Gata, nummer",
Sync Now,Synka nu,
Tag,Tagg,
Tag cannot be empty,Tagg kan inte vara tom,
Tags,Taggar,
Target not installed,Mål inte installerat,
Task,Uppgift,
"The settings component could not be loaded. Please reload the page.","Inställningskomponenten kunde inte laddas. Ladda om sidan.",
"This contact is archived and hidden from the People list.","Denna kontakt är arkiverad och dold från personlistan.",
This is a reminder for your upcoming event,Detta är en påminnelse om din kommande händelse,
This person is marked as Do Not Contact.,Denna person är markerad som Kontakta ej.,
"This record is already linked to this discussion","Denna post är redan länkad till denna diskussion",
Timer,Timer,
Timer running for {0} — did you forget?,Timer har kört i {0} — glömde du?,
"To remove {0}, run:","För att ta bort {0}, kör:",
Try a different search term,Prova ett annat sökord,
Two-Factor Authentication,Tvåfaktorsautentisering,
"Two-factor authentication is not enabled on this site. Contact your administrator.","Tvåfaktorsautentisering är inte aktiverad på denna webbplats. Kontakta din administratör.",
Two-way,Tvåvägs,
Type at least 2 characters to search,Skriv minst 2 tecken för att söka,
Type to search...,Skriv för att söka...,
"Unknown notification_type '{0}' for app '{1}'","Okänd notification_type '{0}' för app '{1}'",
Unknown device,Okänd enhet,
Unlink user — make external,Avlänka användare — gör extern,
unsynced,osynkroniserad,
Update,Uppdatera,
Update password,Uppdatera lösenord,
Updating...,Uppdaterar...,
Upload file,Ladda upp fil,
"Upload files like contracts, proposals, or documents.","Ladda upp filer som avtal, förslag eller dokument.",
Upload photo,Ladda upp foto,
Uploading...,Laddar upp...,
Uploading…,Laddar upp…,
View entry,Visa post,
Website,Webbplats,
Where,Var,
Work,Arbete,
Write a note...,Skriv en anteckning...,
Write a note... (not linked to any record),Skriv en anteckning... (inte länkad till någon post),
You,Du,
You are not an attendee of this event.,Du är inte deltagare i denna händelse.,
"You can have a maximum of {0} bookmarks","Du kan ha maximalt {0} bokmärken",
You can only change status of your own events.,Du kan bara ändra status på dina egna händelser.,
You can only delete your own comments,Du kan bara radera dina egna kommentarer,
You can only delete your own events.,Du kan bara radera dina egna händelser.,
You can only edit your own events.,Du kan bara redigera dina egna händelser.,
You can only edit your own notes,Du kan bara redigera dina egna anteckningar,
"You can only manage attendees on your own events.","Du kan bara hantera deltagare i dina egna händelser.",
You can only view your own events.,Du kan bara visa dina egna händelser.,
"You do not have permission to comment on this record","Du har inte behörighet att kommentera denna post",
You have already reacted with {0},Du har redan reagerat med {0},
You have been invited to the following event,Du har blivit inbjuden till följande händelse,
Your attendance,Din närvaro,
Your response,Ditt svar,
Z→A,Ö→A,
Rescheduled event: {0},Omplanerad händelse: {0},
